epoch    sw                   sm                  
50       0.18893563866725793  0.18288346283171425 
51       0.16973608070241167  0.16318182850036508 
52       0.16999040479169567  0.14582056423073705 
53       0.17150658626058882  0.13846011467226768 
54       0.17164812062173118  0.13660188029870604 
55       0.17227749125110184  0.1374425107715607  
56       0.17300097377715948  0.1375859758171534  
57       0.17320350802549522  0.13213143036260797 
58       0.15342186982673747  0.11213143036260796 
59       0.13342186982673748  0.09213143036260796 
60       0.1335799017364966   0.08716125714416192 
61       0.13372393680590478  0.08745032291709866 
62       0.13383985202748472  0.08756623813867861 
63       0.11397108629955537  0.06763168327697859 
64       0.09495475814344227  0.04795557522557549 
65       0.09386899799850897  0.04915305421717212 
66       0.0944942677180007   0.04962056061072837 
67       0.08920015007094188  0.0458583415316776  
68       0.06930667508301472  0.02628615511903714 
69       0.048309093024437984 0.026431430203317542
70       0.0457919309357219   0.026730942741636052
71       0.04602565770912379  0.027435664376590244
72       0.04606890830564904  0.02852156181248768 
73       0.04140520191400147  0.02822002445616584 
74       0.035439292823092376 0.02557688868091249 
75       0.03359736498408977  0.025624735570864643
76       0.03330095853260905  0.025624735570864643
77       0.033466606333831694 0.025507380198963817
78       0.03360659978301202  0.02558621841392543 
79       0.03125275136993408  0.023557477923646476
80       0.03125275136993408  0.02269800080120218 
81       0.030661560119564585 0.02269800080120218 
82       0.029079142537147003 0.021917935795785062
83       0.02830083516676802  0.02009485117441288 
84       0.025127255460554717 0.01872944890726377 
85       0.023585305347176032 0.017981374099783023
86       0.02213018054632632  0.017694613241593594
87       0.02089030917460248  0.017895955523472788
88       0.021079458941694183 0.017895955523472788
89       0.021296850246042012 0.017895955523472788
90       0.021033602505193805 0.01747729523639145 
91       0.017957615913687646 0.014401308644885287
92       0.017028322984394717 0.01416190231852244 
93       0.015096044736326995 0.01428560851630271 
94       0.014234206703594704 0.01331584238214208 
95       0.014010921217151324 0.013089435189628523
96       0.01339982317486062  0.013003708437235105
97       0.012509034950739064 0.013149357005985556
98       0.012523950540121226 0.012846614482066412
99       0.01221625823242892  0.011759954306798642
100      0.012259074368268312 0.01180299535212494 
101      0.01185972822352553  0.011704629683474117
102      0.011805929068624743 0.011065893953102136
103      0.010289747599731584 0.010966884052112037
104      0.0101482132385892   0.010825118425673668
105      0.009518842609218571 0.010442139640539052
106      0.009032487661464987 0.010298674594946346
107      0.008829953413129213 0.01043566089631621 
108      0.008708226227271592 0.01043566089631621 
109      0.0088181163371617   0.01065645861711393 
110      0.00866008442740261  0.01049842670735484 
111      0.008516049357994406 0.01031834799584717 
112      0.008687262849285731 0.010778115156401204
113      0.008753626996427746 0.011108890682532811
114      0.007955140337726034 0.010784998733935904
115      0.007676431908513334 0.009857790012609535
116      0.009543249478710093 0.009390283619053284
117      0.00983931492475606  0.008152502698104046
118      0.009732789912683226 0.0077246891107445115
119      0.009587514828402824 0.007914153829558344
120      0.00943801025045224  0.008033282681445207
121      0.009449149957335704 0.007820237391825895
122      0.009140820605528092 0.0067343399559284586
123      0.008884941185322829 0.006315877312250298
124      0.00905244537292752  0.008091561729856214
125      0.008860474906845378 0.00804371483990406 
126      0.00959089238209044  0.008722960122922929
127      0.010149590657326553 0.008640315494823754
128      0.010506666335366798 0.00889653772891223 
129      0.010398976286906276 0.00889653772891223 
130      0.010677725315655305 0.009211959096172041
131      0.010677725315655305 0.009211959096172041
132      0.013709084200672725 0.009456564424069702
133      0.013472898817428518 0.009220825516030115
134      0.013484400036485931 0.009383872824671293
135      0.013844201525319677 0.009562885170350305
136      0.01405253485865301  0.009562885170350305
137      0.014030306775644851 0.009361542888471111
138      0.014365264423872036 0.009621868769486648
139      0.014439686672207326 0.009913682322169765
140      0.014565515247858587 0.009913682322169765
141      0.014812229041026708 0.010012670523674517
142      0.01569062695889831  0.00998555898128901 
143      0.01722506462236823  0.00986185278350874 
144      0.017550522506121803 0.009753924682080396
145      0.018356259352467784 0.009852816497144697
146      0.019401508221246068 0.009999504895425925
147      0.01960070905584245  0.009853856326675474
148      0.020002935663948628 0.009688318515204648
149      0.02113602573500682  0.009846603669935094
150      0.02164319454164086  0.010019021196479662
151      0.022514261771797276 0.009958395710854178
152      0.023174468693424738 0.009958395710854178
153      0.026457031718634824 0.010137444603138363
154      0.027225797237193428 0.01024554627511089 
155      0.027225797237193428 0.009874350877085943
156      0.027153332682568795 0.010371099663604855
157      0.027210109520489665 0.010290890200155858
158      0.02718297223945387  0.010325612422378082
159      0.02707308212956376  0.010172382269147929
