epoch    transactions         link-changes        
344      794                  1                   
345      1034                 1                   
346      784                  1                   
347      983                  1                   
348      1041                 1                   
349      1218                 1                   
350      1153                 1                   
351      1448                 1                   
352      588                  1                   
353      1329                 1                   
354      951                  1                   
355      1151                 1                   
356      885                  1                   
357      879                  1                   
358      999                  1                   
359      846                  1                   
360      964                  1                   
361      616                  1                   
362      1528                 1                   
363      1235                 1                   
364      1468                 1                   
365      657                  1                   
366      678                  1                   
367      1344                 1                   
368      1107                 1                   
369      834                  1                   
370      1988                 1                   
371      1893                 1                   
372      1614                 1                   
373      4126                 1                   
374      1671                 1                   
375      5059                 1                   
376      4988                 1                   
377      9266                 1                   
378      746                  1                   
379      693                  1                   
380      1603                 1                   
381      1384                 1                   
382      1050                 1                   
383      1571                 1                   
384      2154                 1                   
385      1224                 1                   
386      917                  1                   
387      772                  1                   
388      686                  1                   
389      737                  1                   
390      783                  1                   
391      424                  1                   
392      592                  1                   
393      553                  1                   
394      915                  1                   
395      2508                 1                   
396      1121                 1                   
397      711                  1                   
398      672                  1                   
399      522                  1                   
400      736                  1                   
401      818                  1                   
402      847                  1                   
403      546                  1                   
404      675                  1                   
405      1199                 1                   
406      3210                 1                   
407      461                  1                   
408      647                  1                   
409      738                  1                   
410      1109                 1                   
411      3340                 1                   
412      2908                 1                   
413      4512                 1                   
414      6069                 1                   
415      8455                 1                   
416      6726                 1                   
417      5152                 1                   
418      3228                 1                   
419      3689                 1                   
420      2438                 1                   
421      4788                 1                   
422      2484                 1                   
423      3316                 1                   
424      2652                 1                   
425      3764                 1                   
426      9446                 1                   
427      6732                 1                   
428      4512                 1                   
429      2417                 1                   
430      4229                 1                   
431      1981                 1                   
432      3366                 1                   
433      2117                 1                   
434      2909                 1                   
435      882                  3160                
436      873                  9149                
437      5638                 10691               
438      3123                 9135                
439      2572                 7398                
440      2822                 11021               
441      4533                 10181               
442      2688                 9338                
443      5992                 10585               
444      4177                 10627               
445      1517                 13600               
446      2045                 8864                
447      1561                 7105                
448      2198                 6913                
449      1119                 8295                
450      2017                 7004                
451      2345                 7917                
452      2000                 8060                
453      1377                 7863                
454      949                  1043                
455      2092                 1                   
456      1076                 1                   
457      1589                 1                   
458      538                  1                   
459      832                  1                   
460      1263                 1                   
461      987                  1                   
462      742                  1                   
463      1052                 1                   
464      739                  1                   
465      684                  1                   
466      985                  1                   
467      1173                 1                   
468      826                  1                   
469      701                  1                   
470      953                  1                   
471      1537                 1                   
472      2278                 1                   
473      2276                 1                   
474      1967                 1                   
475      2282                 1                   
476      2788                 1                   
477      2359                 1                   
478      1790                 1                   
479      1156                 1                   
480      2248                 1                   
481      4795                 1                   
482      1261                 1                   
483      651                  1                   
484      1158                 1                   
485      8073                 1                   
486      1016                 1                   
487      915                  1                   
488      857                  1                   
489      1092                 1                   
490      832                  1                   
491      617                  1                   
492      515                  1                   
493      839                  1                   
494      961                  1                   
495      786                  1                   
496      458                  1                   
497      1137                 1                   
498      996                  1                   
499      832                  1                   
500      460                  1                   
501      685                  1                   
502      1150                 1                   
503      739                  1                   
504      484                  1                   
505      705                  1                   
506      734                  1                   
507      844                  1                   
508      591                  1                   
509      375                  1                   
510      430                  1                   
511      1073                 1                   
512      650                  1                   
513      333                  1                   
514      799                  1                   
515      3502                 1                   
516      573                  1                   
517      335                  1                   
518      1756                 1                   
519      1014                 1                   
520      641                  1                   
521      438                  1                   
522      762                  1                   
523      776                  1                   
524      1540                 1                   
525      907                  1                   
526      810                  1                   
527      945                  1                   
528      576                  1                   
529      548                  1                   
530      425                  1                   
